date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2015-02-07,0.19841360564390156,19.37,4.55,15.68,50.15
2015-02-12,0.19302969009559695,18.7,4.359999999999999,20.06,50.13
2015-02-17,0.18866197672569943,22.08,0,21.14,33.09
2015-02-22,0.18531046553420977,23.19,0.24,22.32,30.65
2015-02-27,0.1829751565211272,24.65,7.15,18.32,33.36
2015-03-04,0.18229132891445976,22.76,0.15000000000000002,22.84,48.33
2015-03-09,0.1823790427033522,23.88,8.36,16.73,48.86
2015-03-14,0.18259865988873492,22.75,6.73,23.91,55.01
2015-03-19,0.18236637741118925,26.37,0,25.86,37.97
2015-03-24,0.1814937814021574,28.33,4.33,23.51,30.99
2015-03-29,0.18010992082168062,26.52,0,23.27,44.56
2015-04-03,0.17840977298942404,27.97,0,25.64,28.72
2015-04-08,0.17649889779319136,28.75,8.27,22.26,38.98
2015-04-13,0.174742447452104,23.47,13.68,18.29,62.44
2015-04-18,0.1736825580232379,29.55,0.05,25.01,43.25
2015-04-23,0.17379563786247465,32.18,1.5099999999999998,23.36,24.04
2015-04-28,0.17526192833219656,32.25,3.44,25.23,27.91
2015-05-03,0.17804508888817633,32.7,1.05,24.62,22.11
2015-05-08,0.18197064543840263,33.21,0,24.62,18.88
2015-05-13,0.1868054449429736,33.77,3.62,20.56,33.93
2015-05-18,0.1923612030746432,33.9,2.16,26.87,29.66
2015-05-23,0.1986221449400357,36.3,0.21000000000000002,27.03,20.17
2015-05-28,0.20562051568581907,36.61,0.42000000000000004,26.22,17.16
2015-06-02,0.2131691983423175,34.07,2.4899999999999998,22.45,34.99
2015-06-07,0.2215329729874071,34.8,5.38,22.05,36.25
2015-06-12,0.23125300865843687,29.44,29.200000000000003,16.39,62.56
2015-06-17,0.2428223465107677,29.57,32.32,17.52,65.92
2015-06-22,0.25643399664888994,26.33,74.15,14.36,83.08
2015-06-27,0.27180164863009815,26.89,14.959999999999999,17.46,74.45
2015-07-02,0.28797075326972027,26.36,42.69,19.52,79.53
2015-07-07,0.30306571664638987,25.8,108.27,10.61,85.13
2015-07-12,0.3150094373007725,26.29,49.99,18.5,84.39
2015-07-17,0.32255151289887757,25.37,31.7,13.08,88.41
2015-07-22,0.32672787263797004,25.62,59.06,12.88,89.54
2015-07-27,0.3317927792742161,24.72,0.88,17.91,84.85
2015-08-01,0.3418480840776305,24.65,114.31,8.48,87.67
2015-08-06,0.35675737402824526,25.74,12.16,16.47,85.61
2015-08-11,0.37208023028256376,26.03,50.81,14.74,87.5
2015-08-16,0.38175988835615926,25.09,65.78999999999999,14.28,90.29
2015-08-21,0.3822887207845566,24.54,11.72,18.26,86.77
2015-08-26,0.37343342460231965,24.77,50.39,14.76,92.33
2015-08-31,0.358824893494473,24.97,8.62,11.54,90.8
2015-09-05,0.3446139333409526,25.05,4.66,22.31,80.99
2015-09-10,0.3348401902124852,25.4,17.17,19.07,81.92
2015-09-15,0.328977110450069,25.07,94.24,16.41,90.61
2015-09-20,0.32386312610675944,23.9,27.43,20.32,87.26
2015-09-25,0.3168021232137974,24.03,0,20.69,77.39
2015-09-30,0.3076108337373889,25.32,0,19.33,79.21
2015-10-05,0.29754421504378564,23.57,0,22.1,66.24
2015-10-10,0.2880762310011529,24.38,3.1700000000000004,20.19,64.84
2015-10-15,0.2800872794513344,24.36,0,19.28,64.8
2015-10-20,0.27362828079549384,24.16,1.2,16.3,62.93
2015-10-25,0.2682568090162959,23.08,24.48,13.87,76.01
2015-10-30,0.2634128224327049,20.82,0,16.57,80.73
2015-11-04,0.2586027306868932,22.75,0.53,14.77,67.71
2015-11-09,0.25342589798606335,22.01,0,16.31,58.4
2015-11-14,0.2479042063393475,20.87,0,16.45,57.59
2015-11-19,0.2424287487722324,20.35,0,15.34,61.02
2015-11-24,0.2374700308291695,22.43,0,14.73,60
2015-11-29,0.2329247678761796,21.36,0,15.14,58.53
2015-12-04,0.22816748950844637,19.13,0,16.59,35.94
2015-12-09,0.22267688036597336,19.91,0.02,11.46,44.19
2015-12-14,0.2165097559716091,18.48,0.02,12.93,32.47
2015-12-19,0.21020733430628075,18.4,0.25,10.36,50.93
2015-12-24,0.20465171407507413,19.63,0,16.21,25.79
2015-12-29,0.20060562934501605,20.93,0,16.63,31.39
2016-01-03,0.19831923374915425,18.86,0,15.63,29.06
2016-01-08,0.19725932125986137,20.04,0,15.58,31.53
2016-01-13,0.1964297422080983,19.69,0,15.1,25.23
2016-01-18,0.19472954741588872,17.58,14.01,9.14,67.75
2016-01-23,0.19145827089552112,13.88,0,19.06,32.31
2016-01-28,0.18651674651066577,18.97,0,18.29,32.25
2016-02-02,0.18035224720038215,20.31,0,19.1,34.58
2016-02-07,0.17367139324926784,21.3,0.02,18.93,29.21
2016-02-12,0.1672527950342388,23.14,0.61,16.13,32.37
2016-02-17,0.1611941802504626,26.48,0.29000000000000004,16.74,32.46
2016-02-22,0.15500154154565063,25.71,0.03,18.47,22.87
2016-02-27,0.14815374936507616,24.83,4.4,14.865,36.364999999999995
2016-03-03,0.14143162328874742,25.36,1.48,19.7,27.44
2016-03-08,0.13668657878457738,26.42,14.2,19.15,46.79
2016-03-13,0.13546917677981032,26.22,9.92,18.29,51.3
2016-03-18,0.13770429305981258,27.12,0.08,23.46,37.49
2016-03-23,0.14213706712958035,27.66,0,25.57,13.59
2016-03-28,0.14655372745770165,29.02,8.61,22.58,29.78
2016-04-02,0.1491669433539043,32.54,0.04,25.07,19.25
2016-04-07,0.14924071704790212,32.47,1.03,23.26,25.76
2016-04-12,0.14770861544397426,32.02,0.07,27.68,17.03
2016-04-17,0.14618185068530656,34.1,0,26.21,17.92
2016-04-22,0.14576789978419732,32.79,0.09,28.06,16.64
2016-04-27,0.14637380071012568,33.77,0.77,24.4,18.35
2016-05-02,0.14754447354987357,33.06,4.9399999999999995,25.23,27.52
2016-05-07,0.14882446985080297,31.01,13,24.01,42.81
2016-05-12,0.15015898866874805,34.49,1.75,25.58,24.21
2016-05-17,0.15158978714801552,34.48,9.08,25.48,38.78
2016-05-22,0.15335027715698962,35.21,6.2,25.13,29.2
2016-05-27,0.15573707032867712,33.45,14.700000000000001,25.06,38.82
2016-06-01,0.15906430464203913,35.01,5.97,21.68,33.54
2016-06-06,0.16308903927840404,34.1,5.34,23.84,41.38
2016-06-11,0.16781127423776937,33.5,9.55,23.29,41.83
2016-06-16,0.1732310095201359,29.24,23.18,17.37,65.71
